ID,Head,Options,Type,Correct_Answer,Degree,Course_ID
1,True or False:A clustered index determines physical data order.,A) True; B) False,True/False,A,5,1
2,True or False: Normalization reduces data redundancy.,A) True; B) False,True/False,A,5,1
3,What is the purpose ofA JOIN in SQL?,A) Delete records; B) Combine rows from multiple tables; C) Update records; D) CreateA new table,Multiple choice,B,5,1
4,What isA stored procedure in SQL?,A)A temporary table; B)A precompiled query; C)A data type; D)An index,Multiple choice,B,5,1
5,What does SQL stand for?,A) Simple Query Language; B) Structured Query Language; C) System Query List; D) Statement Question Language,Multiple choice,B,5,1
6,What does the GROUP BY clause do?,A) Filters rows; B) Sorts rows; C) Groups rows by column values; D) Joins tables,Multiple choice,C,5,1
7,Which SQL function counts rows?,A) SUM(); B) COUNT(); C)AVG(); D) MAX(),Multiple choice,B,5,1
8,What does the SELECT statement do?,A) Updates data; B) Retrieves data; C) Deletes data; D) Inserts data,Multiple choice,B,5,1
9,Which SQL clause filters rows before grouping?,A) HAVING; B) WHERE; C) ORDER BY; D) GROUP BY,Multiple choice,B,5,1
10,What does theALTER TABLE command do?,A) DeletesA table; B) ModifiesA table structure; C) Inserts data; D) Retrieves data,Multiple choice,B,5,1
11,Which SQL clause sorts query results?,A) WHERE; B) ORDER BY; C) GROUP BY; D) HAVING,Multiple choice,B,5,1
12,What does the LIKE operator do in SQL?,A) Joins tables; B) Matches patterns; C) Sorts data; D) Groups data,Multiple choice,B,5,1
13,What isA trigger in SQL?,A)A data type; B)AnAutomaticAction; C)A query; D)A table,Multiple choice,B,5,1
14,Which SQL command deletesA table?,A) DELETE; B) DROP; C) TRUNCATE; D) REMOVE,Multiple choice,B,5,1
15,Which SQL clause filters rowsAfter grouping?,A) WHERE; B) HAVING; C) GROUP BY; D) ORDER BY,Multiple choice,B,5,1
16,Which type of join returnsAll rows from both tables?,A) INNER JOIN; B) LEFT JOIN; C) RIGHT JOIN; D) FULL JOIN,Multiple choice,D,5,1
17,Which SQL commandAdds new rows toA table?,A) INSERT; B) UPDATE; C)ALTER; D) SELECT,Multiple choice,A,5,1
18,True or False: Indexes can speed up queries.,A) True; B) False,True/False,A,5,1
19,True or False:A view isA physical table.,A) True; B) False,True/False,B,5,1
20,What does the UNION operator do?,A) Combines rows from multiple queries; B) Joins tables; C) Filters rows; D) Sorts results,Multiple choice,A,5,1
21,True or False:A primary key can contain NULL values.,A) True; B) False,True/False,B,5,1
22,True or False:A composite key consists of multiple columns.,A) True; B) False,True/False,A,5,1
23,True or False:A foreign key enforces referential integrity.,A) True; B) False,True/False,A,5,1
24,Which SQL command updates existing records?,A) INSERT; B) UPDATE; C)ALTER; D) MODIFY,Multiple choice,B,5,1
25,Which SQL function finds the maximum value?,A) MAX(); B) MIN(); C)AVG(); D) SUM(),Multiple choice,A,5,1
26,True or False:A database view can be updated.,A) True; B) False,True/False,A,5,1
27,Which command createsA new table in SQL?,A)ADD TABLE; B) CREATE TABLE; C) NEW TABLE; D) INSERT TABLE,Multiple choice,B,5,1
28,Which command removesAll records fromA table?,A) DELETE; B) DROP; C) TRUNCATE; D) REMOVE,Multiple choice,C,5,1
29,True or False:A transaction ensures data consistency.,A) True; B) False,True/False,A,5,1
30,What isA database schema?,A)A query; B)A table structure; C)A database structure; D)A data type,Multiple choice,C,5,1
31,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,2
32,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,2
33,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,2
34,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,2
35,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,2
36,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,2
37,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,2
38,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,2
39,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,2
40,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,2
41,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,2
42,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,2
43,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,2
44,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,2
45,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,2
46,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,2
47,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,2
48,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,2
49,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,2
50,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,2
51,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,2
52,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,2
53,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,2
54,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,2
55,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,2
56,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,2
57,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,2
58,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,2
59,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,2
60,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,2
61,True or False:A router operatesAt the Data Link layer.,A) True; B) False,True/False,B,5,3
62,What is the purpose ofA MACAddress?,A) Route packets; B) Identify devices onA network; C) Encrypt data; D)Assign IPAddresses,Multiple choice,B,5,3
63,Which layer of the OSI model handles data encryption?,A) Network; B) Transport; C) Presentation; D)Application,Multiple choice,C,5,3
64,Which protocol is used for network management?,A) SMTP; B) SNMP; C) FTP; D) HTTP,Multiple choice,B,5,3
65,What does DNS stand for?,A) Dynamic Network Service; B) Domain Name System; C) Data Network Standard; D) Distributed Name Service,Multiple choice,B,5,3
66,True or False: IPv6 uses 128-bitAddresses.,A) True; B) False,True/False,A,5,3
67,Which protocol ensures reliable data transfer?,A) UDP; B) TCP; C) ICMP; D) FTP,Multiple choice,B,5,3
68,True or False:A switch operatesAt the Network layer.,A) True; B) False,True/False,B,5,3
69,What isA VLAN?,A) Virtual LocalArea Network; B) Variable LinkAccess Network; C) Virtual LineAuthentication Node; D) Vector LocalAccess Network,Multiple choice,A,5,3
70,Which port is used by SSH?,A) 21; B) 22; C) 23; D) 80,Multiple choice,B,5,3
71,Which protocol is used for email sending?,A) IMAP; B) POP3; C) SMTP; D) SNMP,Multiple choice,C,5,3
72,What doesARP stand for?,A)Address Resolution Protocol; B)Access Routing Protocol; C)Application Request Protocol; D)Address Request Protocol,Multiple choice,A,5,3
73,What does QoS stand for?,A) Quality of Service; B) Quantity of Systems; C) Query of Servers; D) Queue of Signals,Multiple choice,A,5,3
74,True or False: TCP is connectionless.,A) True; B) False,True/False,B,5,3
75,What is the purpose ofA subnet mask?,A) Encrypt data; B) Divide networks; C)Assign IPAddresses; D) Route packets,Multiple choice,B,5,3
76,True or False:A gateway connects different network protocols.,A) True; B) False,True/False,A,5,3
77,True or False: FTP is used to transfer files between clientAnd server.,A) True; B) False,True/False,A,5,3
78,True or False: UDP is faster than TCP.,A) True; B) False,True/False,A,5,3
79,True or False:A hub broadcasts data toAll connected devices.,A) True; B) False,True/False,A,5,3
80,Which protocol resolves IPAddresses to MACAddresses?,A) DNS; B) DHCP; C)ARP; D) SNMP,Multiple choice,C,5,3
81,What is the default port for HTTP?,A) 21; B) 80; C) 443; D) 8080,Multiple choice,B,5,3
82,Which protocol uses port 443?,A) HTTP; B) HTTPS; C) FTP; D) SSH,Multiple choice,B,5,3
83,True or False: NAT translates private IPAddresses to public ones.,A) True; B) False,True/False,A,5,3
84,What is the default port for SMTP?,A) 25; B) 80; C) 110; D) 143,Multiple choice,A,5,3
85,Which port is used by FTP?,A) 21; B) 22; C) 80; D) 443,Multiple choice,A,5,3
86,True or False:A firewall can block specific ports.,A) True; B) False,True/False,A,5,3
87,What does ICMP stand for?,A) Internet Control Message Protocol; B) Internal Communication Protocol; C) Internet Connection Management Protocol; D) Inter-Computer Message Protocol,Multiple choice,A,5,3
88,Which device connects multiple networks?,A) Switch; B) Hub; C) Router; D) Repeater,Multiple choice,C,5,3
89,What does DHCP do?,A) Resolves domain names; B)Assigns IPAddresses; C) Filters packets; D) Encrypts data,Multiple choice,B,5,3
90,Which layer of the OSI model does IP belong to?,A) Transport; B) Network; C) Data Link; D) Session,Multiple choice,B,5,3
91,True or False: Python supports multiple inheritance?,A) True; B) False,True/False,A,5,4
92,What does the `try-except` block handle in Python?,A) Syntax errors; B) Runtime errors; C) Logical errors; D) Compilation errors,Multiple choice,B,5,4
93,Which methodAddsAn element toA list in Python?,A)Append(); B)Add(); C) insert(); D) BothAAnd C,Multiple choice,D,5,4
94,"What is the output of: `print(len(set([1, 1, 2])))`?",A) 1; B) 2; C) 3; D) 4,Multiple choice,B,5,4
95,What doesA list comprehension do?,A) Filters files; B) Creates lists; C) Defines functions; D) Handles exceptions,Multiple choice,B,5,4
96,Which Python data type is unordered?,A) list; B) tuple; C) set; D) str,Multiple choice,C,5,4
97,Which loop is used to iterate overA sequence in Python?,A) do-while; B) for; C) while-only; D) foreach,Multiple choice,B,5,4
98,Which keyword is used to defineA function in Python?,A) func; B) define; C) def; D) function,Multiple choice,C,5,4
99,Which operator checks equality in Python?,A) =; B) ==; C) :=; D) ===,Multiple choice,B,5,4
100,What is the output of: `print(list(range(3)))`?,"A) [1, 2, 3]; B) [0, 1, 2]; C) [0, 1, 2, 3]; D) [1, 2]",Multiple choice,B,5,4
101,What is the output of: `print('Hello'[1:3])`?,A) He; B) el; C) ll; D) lo,Multiple choice,B,5,4
102,Which Python function convertsA string toAn integer?,A) str(); B) int(); C) float(); D) bool(),Multiple choice,B,5,4
103,What does the `in` operator check in Python?,A) Division; B) Membership; C)Assignment; D) Comparison,Multiple choice,B,5,4
104,Which method sortsA list in place?,A) sorted(); B) sort(); C) order(); D)Arrange(),Multiple choice,B,5,4
105,True or False: Python uses indentation to define code blocks.,A) True; B) False,True/False,A,5,4
106,Which symbol is used for comments in Python?,A) //; B) /* */; C) #; D) <!-- -->,Multiple choice,C,5,4
107,True or False: Python is case-sensitive.,A) True; B) False,True/False,A,5,4
108,Which keyword createsA class in Python?,A) class; B) struct; C) object; D) type,Multiple choice,A,5,4
109,True or False:A Python dictionary stores key-value pairs.,A) True; B) False,True/False,A,5,4
110,Which Python module is used for regular expressions?,A) math; B) re; C) os; D) sys,Multiple choice,B,5,4
111,True or False: Python’s `None` is equivalent to null in other languages.,A) True; B) False,True/False,A,5,4
112,"What is the output of: `print([1, 2, 3].pop())`?","A) 1; B) 2; C) 3; D) [1, 2]",Multiple choice,C,5,4
113,"What is the output of: `print({1: 'one', 2: 'two'}[1])`?",A) one; B) two; C) 1; D) KeyError,Multiple choice,A,5,4
114,True or False: The `break` statement exitsA loop.,A) True; B) False,True/False,A,5,4
115,What is the output of: `print(2 ** 3)` in Python?,A) 6; B) 8; C) 9; D) 5,Multiple choice,B,5,4
116,What does the `len()` function return forA string?,A) Number of words; B) Number of characters; C) Number of spaces; D) Number of lines,Multiple choice,B,5,4
117,Which method removes the first occurrence ofAn element inA list?,A) pop(); B) remove(); C) delete(); D) discard(),Multiple choice,B,5,4
118,Which of the following isA mutable data type in Python?,A) tuple; B) list; C) str; D) int,Multiple choice,B,5,4
119,True or False: Lists in PythonAre immutable.,A) True; B) False,True/False,B,5,4
120,What is the output of: `print(3 // 2)` in Python?,A) 1; B) 1.5; C) 2; D) 0,Multiple choice,A,5,4
121,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,5
122,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,5
123,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,5
124,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,5
125,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,5
126,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,5
127,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,5
128,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,5
129,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,5
130,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,5
131,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,5
132,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,5
133,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,5
134,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,5
135,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,5
136,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,5
137,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,5
138,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,5
139,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,5
140,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,5
141,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,5
142,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,5
143,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,5
144,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,5
145,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,5
146,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,5
147,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,5
148,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,5
149,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,5
150,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,5
151,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,6
152,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,6
153,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,6
154,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,6
155,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,6
156,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,6
157,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,6
158,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,6
159,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,6
160,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,6
161,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,6
162,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,6
163,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,6
164,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,6
165,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,6
166,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,6
167,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,6
168,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,6
169,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,6
170,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,6
171,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,6
172,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,6
173,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,6
174,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,6
175,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,6
176,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,6
177,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,6
178,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,6
179,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,6
180,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,6
181,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,7
182,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,7
183,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,7
184,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,7
185,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,7
186,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,7
187,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,7
188,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,7
