ID,Head,Options,Type,Correct_Answer,Degree,Course_ID
189,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,7
190,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,7
191,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,7
192,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,7
193,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,7
194,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,7
195,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,7
196,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,7
197,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,7
198,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,7
199,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,7
200,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,7
201,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,7
202,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,7
203,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,7
204,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,7
205,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,7
206,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,7
207,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,7
208,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,7
209,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,7
210,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,7
211,What isA man-in-the-middleAttack?,A) FloodingA server; B) Intercepting communication; C) Guessing passwords; D) Injecting SQL,Multiple choice,B,5,8
212,What doesA firewall do?,A) Encrypts data; B) Filters network traffic; C) Compresses data; D) Backs up data,Multiple choice,B,5,8
213,True or False:A secure password should be shortAnd simple.,A) True; B) False,True/False,B,5,8
214,What does SSL stand for?,A) Secure Socket Layer; B) System Security Level; C) Safe Session Link; D) Standard Secure Layer,Multiple choice,A,5,8
215,What isA digital certificate used for?,A) Data compression; B) Verify identity; C) Network routing; D) File storage,Multiple choice,B,5,8
216,True or False: HTTPS is less secure than HTTP.,A) True; B) False,True/False,B,5,8
217,WhichAttack exploits database vulnerabilities?,A) Phishing; B) SQL injection; C) DDoS; D) Brute force,Multiple choice,B,5,8
218,What does XSS stand for?,A) Cross-Site Scripting; B) Extended Security System; C) Cross-Server Sharing; D) Extra Site Security,Multiple choice,A,5,8
219,WhichAttack involves tricking users into sharing credentials?,A) Brute force; B) Phishing; C) DDoS; D) SQL injection,Multiple choice,B,5,8
220,Which protocol secures file transfers?,A) FTP; B) SFTP; C) HTTP; D) SNMP,Multiple choice,B,5,8
221,What is ransomware?,A)A firewall type; B) Malicious software demanding payment; C)A secure protocol; D)A VPN tool,Multiple choice,B,5,8
222,WhichAttack floodsA server with requests?,A) Phishing; B) DDoS; C) SQL injection; D) Man-in-the-middle,Multiple choice,B,5,8
223,True or False: Encryption ensures data confidentiality.,A) True; B) False,True/False,A,5,8
224,True or False: Penetration testing simulatesAttacks.,A) True; B) False,True/False,A,5,8
225,What is the purpose of two-factorAuthentication?,A) Faster login; B) Enhanced security; C) Data compression; D) Network routing,Multiple choice,B,5,8
226,Which protocol secures web browsing?,A) HTTP; B) FTP; C) TLS; D) SMTP,Multiple choice,C,5,8
227,Which technique is used to disguise data?,A) Hashing; B) Phishing; C) Encryption; D) Decryption,Multiple choice,C,5,8
228,What does VPN stand for?,A) Virtual Private Network; B) Variable Packet Network; C) Virtual Public Node; D) Verified Protocol Network,Multiple choice,A,5,8
229,Which tool is used for network packetAnalysis?,A) Metasploit; B) Wireshark; C) Nmap; D) Burp Suite,Multiple choice,B,5,8
230,True or False:A hash function is reversible.,A) True; B) False,True/False,B,5,8
231,Which tool scans for open ports?,A) Wireshark; B) Nmap; C) Metasploit; D) John the Ripper,Multiple choice,B,5,8
232,Which protocol is used for secure email?,A) SMTP; B) IMAP; C) S/MIME; D) POP3,Multiple choice,C,5,8
233,Which of these isA type of malware?,A) Firewall; B) Worm; C) VPN; D) Router,Multiple choice,B,5,8
234,True or False: Social engineering manipulates human behavior.,A) True; B) False,True/False,A,5,8
235,True or False:A VPN enhances network security.,A) True; B) False,True/False,A,5,8
236,What does IDS stand for?,A) Intrusion Detection System; B) Internal Data Security; C) Internet Defense System; D) Intrusion Denial Service,Multiple choice,A,5,8
237,True or False: Patching fixes software vulnerabilities.,A) True; B) False,True/False,A,5,8
238,True or False:A brute forceAttack guesses passwords.,A) True; B) False,True/False,A,5,8
239,What is the purpose ofA honeypot?,A) Encrypt data; B)AttractAttackers; C) Back up data; D) Route traffic,Multiple choice,B,5,8
240,True or False:A keylogger records keystrokes.,A) True; B) False,True/False,A,5,8
241,What does VPN stand for?,A) Virtual Private Network; B) Variable Packet Network; C) Virtual Public Node; D) Verified Protocol Network,Multiple choice,A,5,9
242,True or False: Social engineering manipulates human behavior.,A) True; B) False,True/False,A,5,9
243,True or False:A brute forceAttack guesses passwords.,A) True; B) False,True/False,A,5,9
244,WhichAttack exploits database vulnerabilities?,A) Phishing; B) SQL injection; C) DDoS; D) Brute force,Multiple choice,B,5,9
245,What isA digital certificate used for?,A) Data compression; B) Verify identity; C) Network routing; D) File storage,Multiple choice,B,5,9
246,What isA man-in-the-middleAttack?,A) FloodingA server; B) Intercepting communication; C) Guessing passwords; D) Injecting SQL,Multiple choice,B,5,9
247,What is ransomware?,A)A firewall type; B) Malicious software demanding payment; C)A secure protocol; D)A VPN tool,Multiple choice,B,5,9
248,Which protocol secures file transfers?,A) FTP; B) SFTP; C) HTTP; D) SNMP,Multiple choice,B,5,9
249,True or False:A hash function is reversible.,A) True; B) False,True/False,B,5,9
250,True or False: Encryption ensures data confidentiality.,A) True; B) False,True/False,A,5,9
251,True or False:A VPN enhances network security.,A) True; B) False,True/False,A,5,9
252,True or False: HTTPS is less secure than HTTP.,A) True; B) False,True/False,B,5,9
253,True or False: Penetration testing simulatesAttacks.,A) True; B) False,True/False,A,5,9
254,True or False:A secure password should be shortAnd simple.,A) True; B) False,True/False,B,5,9
255,WhichAttack involves tricking users into sharing credentials?,A) Brute force; B) Phishing; C) DDoS; D) SQL injection,Multiple choice,B,5,9
256,Which tool scans for open ports?,A) Wireshark; B) Nmap; C) Metasploit; D) John the Ripper,Multiple choice,B,5,9
257,True or False: Patching fixes software vulnerabilities.,A) True; B) False,True/False,A,5,9
258,What does SSL stand for?,A) Secure Socket Layer; B) System Security Level; C) Safe Session Link; D) Standard Secure Layer,Multiple choice,A,5,9
259,What does IDS stand for?,A) Intrusion Detection System; B) Internal Data Security; C) Internet Defense System; D) Intrusion Denial Service,Multiple choice,A,5,9
260,Which of these isA type of malware?,A) Firewall; B) Worm; C) VPN; D) Router,Multiple choice,B,5,9
261,What doesA firewall do?,A) Encrypts data; B) Filters network traffic; C) Compresses data; D) Backs up data,Multiple choice,B,5,9
262,What is the purpose of two-factorAuthentication?,A) Faster login; B) Enhanced security; C) Data compression; D) Network routing,Multiple choice,B,5,9
263,Which tool is used for network packetAnalysis?,A) Metasploit; B) Wireshark; C) Nmap; D) Burp Suite,Multiple choice,B,5,9
264,What does XSS stand for?,A) Cross-Site Scripting; B) Extended Security System; C) Cross-Server Sharing; D) Extra Site Security,Multiple choice,A,5,9
265,Which protocol is used for secure email?,A) SMTP; B) IMAP; C) S/MIME; D) POP3,Multiple choice,C,5,9
266,True or False:A keylogger records keystrokes.,A) True; B) False,True/False,A,5,9
267,Which protocol secures web browsing?,A) HTTP; B) FTP; C) TLS; D) SMTP,Multiple choice,C,5,9
268,Which technique is used to disguise data?,A) Hashing; B) Phishing; C) Encryption; D) Decryption,Multiple choice,C,5,9
269,WhichAttack floodsA server with requests?,A) Phishing; B) DDoS; C) SQL injection; D) Man-in-the-middle,Multiple choice,B,5,9
270,What is the purpose ofA honeypot?,A) Encrypt data; B)AttractAttackers; C) Back up data; D) Route traffic,Multiple choice,B,5,9
271,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,10
272,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,10
273,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,10
274,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,10
275,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,10
276,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,10
277,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,10
278,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,10
279,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,10
280,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,10
281,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,10
282,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,10
283,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,10
284,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,10
285,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,10
286,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,10
287,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,10
288,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,10
289,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,10
290,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,10
291,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,10
292,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,10
293,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,10
294,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,10
295,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,10
296,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,10
297,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,10
298,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,10
299,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,10
300,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,10
301,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,11
302,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,11
303,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,11
304,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,11
305,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,11
306,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,11
307,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,11
308,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,11
309,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,11
310,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,11
311,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,11
312,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,11
313,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,11
314,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,11
315,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,11
316,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,11
317,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,11
318,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,11
319,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,11
320,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,11
321,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,11
322,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,11
323,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,11
324,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,11
325,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,11
326,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,11
327,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,11
328,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,11
329,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,11
330,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,11
331,Which keyword is used to defineA function in Python?,A) func; B) define; C) def; D) function,Multiple choice,C,5,12
332,True or False: Python uses indentation to define code blocks.,A) True; B) False,True/False,A,5,12
333,What does the `len()` function return forA string?,A) Number of words; B) Number of characters; C) Number of spaces; D) Number of lines,Multiple choice,B,5,12
334,True or False: Python’s `None` is equivalent to null in other languages.,A) True; B) False,True/False,A,5,12
335,What is the output of: `print(list(range(3)))`?,"A) [1, 2, 3]; B) [0, 1, 2]; C) [0, 1, 2, 3]; D) [1, 2]",Multiple choice,B,5,12
336,True or False: Python is case-sensitive.,A) True; B) False,True/False,A,5,12
337,Which method sortsA list in place?,A) sorted(); B) sort(); C) order(); D)Arrange(),Multiple choice,B,5,12
338,"What is the output of: `print([1, 2, 3].pop())`?","A) 1; B) 2; C) 3; D) [1, 2]",Multiple choice,C,5,12
339,"What is the output of: `print({1: 'one', 2: 'two'}[1])`?",A) one; B) two; C) 1; D) KeyError,Multiple choice,A,5,12
340,Which loop is used to iterate overA sequence in Python?,A) do-while; B) for; C) while-only; D) foreach,Multiple choice,B,5,12
341,Which symbol is used for comments in Python?,A) //; B) /* */; C) #; D) <!-- -->,Multiple choice,C,5,12
342,What is the output of: `print(3 // 2)` in Python?,A) 1; B) 1.5; C) 2; D) 0,Multiple choice,A,5,12
343,Which of the following isA mutable data type in Python?,A) tuple; B) list; C) str; D) int,Multiple choice,B,5,12
344,What does the `in` operator check in Python?,A) Division; B) Membership; C)Assignment; D) Comparison,Multiple choice,B,5,12
345,Which keyword createsA class in Python?,A) class; B) struct; C) object; D) type,Multiple choice,A,5,12
346,True or False: Python supports multiple inheritance?,A) True; B) False,True/False,A,5,12
347,Which Python function convertsA string toAn integer?,A) str(); B) int(); C) float(); D) bool(),Multiple choice,B,5,12
348,What does the `try-except` block handle in Python?,A) Syntax errors; B) Runtime errors; C) Logical errors; D) Compilation errors,Multiple choice,B,5,12
349,What doesA list comprehension do?,A) Filters files; B) Creates lists; C) Defines functions; D) Handles exceptions,Multiple choice,B,5,12
350,Which Python module is used for regular expressions?,A) math; B) re; C) os; D) sys,Multiple choice,B,5,12
351,Which method removes the first occurrence ofAn element inA list?,A) pop(); B) remove(); C) delete(); D) discard(),Multiple choice,B,5,12
352,Which methodAddsAn element toA list in Python?,A)Append(); B)Add(); C) insert(); D) BothAAnd C,Multiple choice,D,5,12
353,What is the output of: `print(2 ** 3)` in Python?,A) 6; B) 8; C) 9; D) 5,Multiple choice,B,5,12
354,True or False:A Python dictionary stores key-value pairs.,A) True; B) False,True/False,A,5,12
355,What is the output of: `print('Hello'[1:3])`?,A) He; B) el; C) ll; D) lo,Multiple choice,B,5,12
356,Which Python data type is unordered?,A) list; B) tuple; C) set; D) str,Multiple choice,C,5,12
357,True or False: The `break` statement exitsA loop.,A) True; B) False,True/False,A,5,12
358,Which operator checks equality in Python?,A) =; B) ==; C) :=; D) ===,Multiple choice,B,5,12
359,"What is the output of: `print(len(set([1, 1, 2])))`?",A) 1; B) 2; C) 3; D) 4,Multiple choice,B,5,12
360,True or False: Lists in PythonAre immutable.,A) True; B) False,True/False,B,5,12
361,True or False: Python is case-sensitive.,A) True; B) False,True/False,A,5,13
362,Which loop is used to iterate overA sequence in Python?,A) do-while; B) for; C) while-only; D) foreach,Multiple choice,B,5,13
363,Which Python function convertsA string toAn integer?,A) str(); B) int(); C) float(); D) bool(),Multiple choice,B,5,13
364,"What is the output of: `print(len(set([1, 1, 2])))`?",A) 1; B) 2; C) 3; D) 4,Multiple choice,B,5,13
365,What does the `in` operator check in Python?,A) Division; B) Membership; C)Assignment; D) Comparison,Multiple choice,B,5,13
366,True or False: Python supports multiple inheritance?,A) True; B) False,True/False,A,5,13
367,"What is the output of: `print({1: 'one', 2: 'two'}[1])`?",A) one; B) two; C) 1; D) KeyError,Multiple choice,A,5,13
368,Which operator checks equality in Python?,A) =; B) ==; C) :=; D) ===,Multiple choice,B,5,13
369,True or False: Lists in PythonAre immutable.,A) True; B) False,True/False,B,5,13
370,True or False:A Python dictionary stores key-value pairs.,A) True; B) False,True/False,A,5,13
371,What is the output of: `print('Hello'[1:3])`?,A) He; B) el; C) ll; D) lo,Multiple choice,B,5,13
372,True or False: Python uses indentation to define code blocks.,A) True; B) False,True/False,A,5,13
373,What does the `len()` function return forA string?,A) Number of words; B) Number of characters; C) Number of spaces; D) Number of lines,Multiple choice,B,5,13
374,Which method removes the first occurrence ofAn element inA list?,A) pop(); B) remove(); C) delete(); D) discard(),Multiple choice,B,5,13
