ID,Head,Options,Type,Correct_Answer,Degree,Course_ID
567,Which method removes the first occurrence ofAn element inA list?,A) pop(); B) remove(); C) delete(); D) discard(),Multiple choice,B,5,19
568,True or False: Lists in PythonAre immutable.,A) True; B) False,True/False,B,5,19
569,Which method sortsA list in place?,A) sorted(); B) sort(); C) order(); D)Arrange(),Multiple choice,B,5,19
570,Which of the following isA mutable data type in Python?,A) tuple; B) list; C) str; D) int,Multiple choice,B,5,19
571,What is the default port for SMTP?,A) 25; B) 80; C) 110; D) 143,Multiple choice,A,5,20
572,What does ICMP stand for?,A) Internet Control Message Protocol; B) Internal Communication Protocol; C) Internet Connection Management Protocol; D) Inter-Computer Message Protocol,Multiple choice,A,5,20
573,True or False:A hub broadcasts data toAll connected devices.,A) True; B) False,True/False,A,5,20
574,What is the purpose ofA MACAddress?,A) Route packets; B) Identify devices onA network; C) Encrypt data; D)Assign IPAddresses,Multiple choice,B,5,20
575,True or False: FTP is used to transfer files between clientAnd server.,A) True; B) False,True/False,A,5,20
576,True or False:A router operatesAt the Data Link layer.,A) True; B) False,True/False,B,5,20
577,What is the default port for HTTP?,A) 21; B) 80; C) 443; D) 8080,Multiple choice,B,5,20
578,Which layer of the OSI model handles data encryption?,A) Network; B) Transport; C) Presentation; D)Application,Multiple choice,C,5,20
579,Which layer of the OSI model does IP belong to?,A) Transport; B) Network; C) Data Link; D) Session,Multiple choice,B,5,20
580,True or False: IPv6 uses 128-bitAddresses.,A) True; B) False,True/False,A,5,20
581,Which port is used by SSH?,A) 21; B) 22; C) 23; D) 80,Multiple choice,B,5,20
582,True or False: NAT translates private IPAddresses to public ones.,A) True; B) False,True/False,A,5,20
583,True or False:A switch operatesAt the Network layer.,A) True; B) False,True/False,B,5,20
584,Which protocol is used for network management?,A) SMTP; B) SNMP; C) FTP; D) HTTP,Multiple choice,B,5,20
585,What does DNS stand for?,A) Dynamic Network Service; B) Domain Name System; C) Data Network Standard; D) Distributed Name Service,Multiple choice,B,5,20
586,What isA VLAN?,A) Virtual LocalArea Network; B) Variable LinkAccess Network; C) Virtual LineAuthentication Node; D) Vector LocalAccess Network,Multiple choice,A,5,20
587,True or False: TCP is connectionless.,A) True; B) False,True/False,B,5,20
588,What does DHCP do?,A) Resolves domain names; B)Assigns IPAddresses; C) Filters packets; D) Encrypts data,Multiple choice,B,5,20
589,Which protocol ensures reliable data transfer?,A) UDP; B) TCP; C) ICMP; D) FTP,Multiple choice,B,5,20
590,True or False: UDP is faster than TCP.,A) True; B) False,True/False,A,5,20
591,True or False:A gateway connects different network protocols.,A) True; B) False,True/False,A,5,20
592,What is the purpose ofA subnet mask?,A) Encrypt data; B) Divide networks; C)Assign IPAddresses; D) Route packets,Multiple choice,B,5,20
593,Which protocol resolves IPAddresses to MACAddresses?,A) DNS; B) DHCP; C)ARP; D) SNMP,Multiple choice,C,5,20
594,Which device connects multiple networks?,A) Switch; B) Hub; C) Router; D) Repeater,Multiple choice,C,5,20
595,Which port is used by FTP?,A) 21; B) 22; C) 80; D) 443,Multiple choice,A,5,20
596,Which protocol is used for email sending?,A) IMAP; B) POP3; C) SMTP; D) SNMP,Multiple choice,C,5,20
597,What doesARP stand for?,A)Address Resolution Protocol; B)Access Routing Protocol; C)Application Request Protocol; D)Address Request Protocol,Multiple choice,A,5,20
598,Which protocol uses port 443?,A) HTTP; B) HTTPS; C) FTP; D) SSH,Multiple choice,B,5,20
599,True or False:A firewall can block specific ports.,A) True; B) False,True/False,A,5,20
600,What does QoS stand for?,A) Quality of Service; B) Quantity of Systems; C) Query of Servers; D) Queue of Signals,Multiple choice,A,5,20
601,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,21
602,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,21
603,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,21
604,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,21
605,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,21
606,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,21
607,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,21
608,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,21
609,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,21
610,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,21
611,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,21
612,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,21
613,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,21
614,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,21
615,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,21
616,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,21
617,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,21
618,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,21
619,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,21
620,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,21
621,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,21
622,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,21
623,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,21
624,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,21
625,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,21
626,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,21
627,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,21
628,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,21
629,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,21
630,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,21
631,Which SQL clause sorts query results?,A) WHERE; B) ORDER BY; C) GROUP BY; D) HAVING,Multiple choice,B,5,22
632,Which SQL clause filters rowsAfter grouping?,A) WHERE; B) HAVING; C) GROUP BY; D) ORDER BY,Multiple choice,B,5,22
633,Which SQL function finds the maximum value?,A) MAX(); B) MIN(); C)AVG(); D) SUM(),Multiple choice,A,5,22
634,True or False:A composite key consists of multiple columns.,A) True; B) False,True/False,A,5,22
635,True or False: Indexes can speed up queries.,A) True; B) False,True/False,A,5,22
636,Which command createsA new table in SQL?,A)ADD TABLE; B) CREATE TABLE; C) NEW TABLE; D) INSERT TABLE,Multiple choice,B,5,22
637,True or False:A primary key can contain NULL values.,A) True; B) False,True/False,B,5,22
638,What does the LIKE operator do in SQL?,A) Joins tables; B) Matches patterns; C) Sorts data; D) Groups data,Multiple choice,B,5,22
639,True or False: Normalization reduces data redundancy.,A) True; B) False,True/False,A,5,22
640,True or False:A view isA physical table.,A) True; B) False,True/False,B,5,22
641,What is the purpose ofA JOIN in SQL?,A) Delete records; B) Combine rows from multiple tables; C) Update records; D) CreateA new table,Multiple choice,B,5,22
642,What isA database schema?,A)A query; B)A table structure; C)A database structure; D)A data type,Multiple choice,C,5,22
643,Which SQL clause filters rows before grouping?,A) HAVING; B) WHERE; C) ORDER BY; D) GROUP BY,Multiple choice,B,5,22
644,What does SQL stand for?,A) Simple Query Language; B) Structured Query Language; C) System Query List; D) Statement Question Language,Multiple choice,B,5,22
645,True or False:A transaction ensures data consistency.,A) True; B) False,True/False,A,5,22
646,What does the GROUP BY clause do?,A) Filters rows; B) Sorts rows; C) Groups rows by column values; D) Joins tables,Multiple choice,C,5,22
647,What does the SELECT statement do?,A) Updates data; B) Retrieves data; C) Deletes data; D) Inserts data,Multiple choice,B,5,22
648,True or False:A foreign key enforces referential integrity.,A) True; B) False,True/False,A,5,22
649,Which SQL function counts rows?,A) SUM(); B) COUNT(); C)AVG(); D) MAX(),Multiple choice,B,5,22
650,What isA trigger in SQL?,A)A data type; B)AnAutomaticAction; C)A query; D)A table,Multiple choice,B,5,22
651,What does theALTER TABLE command do?,A) DeletesA table; B) ModifiesA table structure; C) Inserts data; D) Retrieves data,Multiple choice,B,5,22
652,Which SQL command deletesA table?,A) DELETE; B) DROP; C) TRUNCATE; D) REMOVE,Multiple choice,B,5,22
653,What does the UNION operator do?,A) Combines rows from multiple queries; B) Joins tables; C) Filters rows; D) Sorts results,Multiple choice,A,5,22
654,True or False:A database view can be updated.,A) True; B) False,True/False,A,5,22
655,True or False:A clustered index determines physical data order.,A) True; B) False,True/False,A,5,22
656,What isA stored procedure in SQL?,A)A temporary table; B)A precompiled query; C)A data type; D)An index,Multiple choice,B,5,22
657,Which command removesAll records fromA table?,A) DELETE; B) DROP; C) TRUNCATE; D) REMOVE,Multiple choice,C,5,22
658,Which type of join returnsAll rows from both tables?,A) INNER JOIN; B) LEFT JOIN; C) RIGHT JOIN; D) FULL JOIN,Multiple choice,D,5,22
659,Which SQL command updates existing records?,A) INSERT; B) UPDATE; C)ALTER; D) MODIFY,Multiple choice,B,5,22
660,Which SQL commandAdds new rows toA table?,A) INSERT; B) UPDATE; C)ALTER; D) SELECT,Multiple choice,A,5,22
661,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,23
662,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,23
663,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,23
664,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,23
665,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,23
666,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,23
667,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,23
668,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,23
669,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,23
670,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,23
671,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,23
672,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,23
673,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,23
674,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,23
675,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,23
676,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,23
677,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,23
678,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,23
679,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,23
680,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,23
681,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,23
682,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,23
683,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,23
684,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,23
685,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,23
686,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,23
687,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,23
688,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,23
689,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,23
690,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,23
691,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,24
692,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,24
693,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,24
694,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,24
695,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,24
696,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,24
697,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,24
698,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,24
699,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,24
700,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,24
701,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,24
702,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,24
703,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,24
704,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,24
705,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,24
706,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,24
707,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,24
708,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,24
709,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,24
710,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,24
711,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,24
712,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,24
713,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,24
714,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,24
715,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,24
716,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,24
717,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,24
718,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,24
719,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,24
720,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,24
721,Which library is used in Python for data manipulation?,A) numpy; B) pandas; C) matplotlib; D) scikit-learn,Multiple choice,B,5,25
722,True or False: Clustering groups similar data points.,A) True; B) False,True/False,A,5,25
723,What does the `groupby()` method in pandas do?,A) Sorts data; B) Groups data by column values; C) Filters data; D) Plots data,Multiple choice,B,5,25
724,True or False: Cross-validation improves model generalization.,A) True; B) False,True/False,A,5,25
725,True or False: One-hot encoding converts categorical data to numerical.,A) True; B) False,True/False,A,5,25
726,Which library supportsAdvanced visualizations?,A) numpy; B) pandas; C) seaborn; D) scikit-learn,Multiple choice,C,5,25
727,WhichAlgorithm is used forAnomaly detection?,A) Linear Regression; B) Isolation Forest; C) Logistic Regression; D) SVM,Multiple choice,B,5,25
728,True or False: SVM can handle non-linear data.,A) True; B) False,True/False,A,5,25
729,What is bias in machine learning?,A) Model complexity; B) Systematic error; C) Random error; D) Data size,Multiple choice,B,5,25
730,What isA hyperparameter in machine learning?,A)A model prediction; B)A configuration set before training; C)A dataset feature; D)A training output,Multiple choice,B,5,25
731,Which library is used for machine learning in Python?,A) numpy; B) pandas; C) scikit-learn; D) matplotlib,Multiple choice,C,5,25
732,Which metric evaluates classificationAccuracy?,A) Mean Squared Error; B) R-squared; C) Precision; D) Variance,Multiple choice,C,5,25
733,True or False:A decision tree can be used for regression.,A) True; B) False,True/False,A,5,25
734,True or False:A random forest isAn ensemble method.,A) True; B) False,True/False,A,5,25
735,True or False: Supervised learning requires labeled data.,A) True; B) False,True/False,A,5,25
736,What is the purpose of train-test split?,A) Data cleaning; B) Model evaluation; C) Feature selection; D) Data visualization,Multiple choice,B,5,25
737,True or False: Overfitting occurs whenA model is too complex.,A) True; B) False,True/False,A,5,25
738,What does ROC stand for?,A) Receiver Operating Characteristic; B) Random Output Curve; C) Regression Optimization Criterion; D) Recall Operating Curve,Multiple choice,A,5,25
739,What does PCA stand for?,A) Principal ComponentAnalysis; B) Predictive ClusteringAlgorithm; C) Partial CorrelationAnalysis; D) Primary ComponentAdjustment,Multiple choice,A,5,25
740,What does the `describe()` method in pandas do?,A) Plots data; B) Summarizes statistics; C) Cleans data; D) Merges dataframes,Multiple choice,B,5,25
741,WhichAlgorithm minimizesA cost function?,A) K-Means; B) Gradient Descent; C) Decision Trees; D) PCA,Multiple choice,B,5,25
742,What does the `dropna()` method in pandas do?,A) Drops duplicate rows; B) Drops missing values; C) Drops columns; D) Drops rows with zeros,Multiple choice,B,5,25
743,True or False: K-Means isA supervised learningAlgorithm.,A) True; B) False,True/False,B,5,25
744,Which method imputes missing values in pandas?,A) fillna(); B) dropna(); C) replace(); D) interpolate(),Multiple choice,A,5,25
745,What is the purpose of feature scaling?,A) Reduce dataset size; B) Normalize data ranges; C) Remove outliers; D) Encrypt data,Multiple choice,B,5,25
746,WhichAlgorithm is used for classification problems?,A) K-Means; B) Linear Regression; C) Decision Trees; D) PCA,Multiple choice,C,5,25
747,True or False:A neural network requires feature engineering.,A) True; B) False,True/False,B,5,25
748,WhichAlgorithm is unsupervised?,A) Decision Trees; B) K-Means; C) Logistic Regression; D) SVM,Multiple choice,B,5,25
749,Which library is used for plotting in Python?,A) numpy; B) pandas; C) matplotlib; D) seaborn,Multiple choice,C,5,25
750,What is the purpose ofA confusion matrix?,A) Data visualization; B) Model evaluation; C) Data cleaning; D) Feature selection,Multiple choice,B,5,25
